iter	Passed	Remaining
750	1357	450
751	1359	448
752	1361	446
753	1362	444
754	1364	442
755	1366	440
756	1367	438
757	1369	437
758	1370	435
759	1372	433
760	1373	431
761	1375	429
762	1377	427
763	1378	425
764	1380	423
765	1381	422
766	1383	420
767	1384	418
768	1386	416
769	1387	414
770	1389	412
771	1391	410
772	1392	408
773	1393	406
774	1395	405
775	1396	403
776	1398	401
777	1399	399
778	1401	397
779	1403	395
780	1404	393
781	1406	392
782	1408	390
783	1409	388
784	1411	386
785	1412	384
786	1414	382
787	1415	380
788	1417	379
789	1419	377
790	1420	375
791	1422	373
792	1423	371
793	1425	369
794	1426	367
795	1428	366
796	1429	364
797	1431	362
798	1439	362
799	1440	360
800	1442	358
801	1443	356
802	1445	354
803	1446	352
804	1448	350
805	1450	349
806	1451	347
807	1452	345
808	1454	343
809	1455	341
810	1457	339
811	1458	337
812	1460	335
813	1461	334
814	1463	332
815	1465	330
816	1467	328
817	1468	326
818	1470	324
819	1471	323
820	1473	321
821	1474	319
822	1476	317
823	1477	315
824	1479	313
825	1481	311
826	1482	310
827	1483	308
828	1485	306
829	1486	304
830	1488	302
831	1489	300
832	1491	299
833	1493	297
834	1494	295
835	1496	293
836	1497	291
837	1499	289
838	1500	288
839	1502	286
840	1503	284
841	1505	282
842	1507	280
843	1508	278
844	1510	277
845	1512	275
846	1513	273
847	1515	271
848	1516	269
849	1518	268
850	1520	266
851	1522	264
852	1523	262
853	1525	260
854	1527	258
855	1528	257
856	1530	255
857	1531	253
858	1533	251
859	1535	249
860	1536	248
861	1538	246
862	1540	244
863	1541	242
864	1543	240
865	1545	239
866	1546	237
867	1548	235
868	1550	233
869	1551	231
870	1553	230
871	1554	228
872	1556	226
873	1558	224
874	1559	222
875	1561	221
876	1563	219
877	1564	217
878	1566	215
879	1568	213
880	1569	212
881	1570	210
882	1572	208
883	1574	206
884	1575	204
885	1577	202
886	1578	201
887	1580	199
888	1582	197
889	1583	195
890	1585	193
891	1586	192
892	1588	190
893	1590	188
894	1591	186
895	1593	184
896	1595	183
897	1596	181
898	1597	179
899	1599	177
900	1601	175
901	1602	174
902	1604	172
903	1606	170
904	1607	168
905	1609	166
906	1610	165
907	1612	163
908	1613	161
909	1615	159
910	1617	157
911	1618	156
912	1620	154
913	1621	152
914	1623	150
915	1624	149
916	1626	147
917	1628	145
918	1629	143
919	1631	141
920	1633	140
921	1634	138
922	1636	136
923	1637	134
924	1639	132
925	1640	131
926	1642	129
927	1644	127
928	1645	125
929	1647	124
930	1649	122
931	1650	120
932	1652	118
933	1653	116
934	1655	115
935	1657	113
936	1658	111
937	1660	109
938	1661	107
939	1664	106
940	1665	104
941	1667	102
942	1669	100
