,ts_code,trade_time,open,close,high,low,vol,amount,oi
97,IF2309.CFX,2023-08-25 11:07:00,3721.0,3722.0,3722.0,3719.4,88.0,98219820.0,175690.0
98,IF2309.CFX,2023-08-25 11:08:00,3722.0,3719.8,3723.2,3719.6,163.0,181995840.0,175703.0
99,IF2309.CFX,2023-08-25 11:09:00,3719.6,3718.0,3719.8,3718.0,136.0,151727340.0,175719.0
100,IF2309.CFX,2023-08-25 11:10:00,3718.0,3718.6,3720.4,3717.6,126.0,140580240.0,175741.0
101,IF2309.CFX,2023-08-25 11:11:00,3718.6,3720.6,3721.0,3717.8,104.0,116048820.0,175744.0
102,IF2309.CFX,2023-08-25 11:12:00,3720.8,3724.8,3724.8,3720.4,314.0,350712130.0,175662.0
103,IF2309.CFX,2023-08-25 11:13:00,3724.6,3724.0,3726.4,3723.4,320.0,357593470.0,175601.0
104,IF2309.CFX,2023-08-25 11:14:00,3724.0,3721.6,3724.0,3720.6,218.0,243432300.0,175550.0
105,IF2309.CFX,2023-08-25 11:15:00,3722.0,3720.4,3722.0,3719.6,205.0,228821220.0,175523.0
106,IF2309.CFX,2023-08-25 11:16:00,3720.8,3718.6,3721.8,3718.6,160.0,178564670.0,175512.0
107,IF2309.CFX,2023-08-25 11:17:00,3718.6,3718.2,3719.8,3718.2,143.0,159536400.0,175516.0
108,IF2309.CFX,2023-08-25 11:18:00,3718.2,3717.6,3718.6,3717.2,134.0,149459700.0,175490.0
109,IF2309.CFX,2023-08-25 11:19:00,3717.6,3716.4,3718.4,3716.2,213.0,237530400.0,175479.0
110,IF2309.CFX,2023-08-25 11:20:00,3717.0,3713.2,3717.0,3713.2,490.0,546036600.0,175424.0
111,IF2309.CFX,2023-08-25 11:21:00,3713.2,3715.6,3716.0,3713.0,358.0,398935200.0,175363.0
112,IF2309.CFX,2023-08-25 11:22:00,3715.8,3714.2,3716.4,3714.2,197.0,219563580.0,175352.0
113,IF2309.CFX,2023-08-25 11:23:00,3714.4,3714.6,3716.6,3714.2,145.0,161603040.0,175310.0
114,IF2309.CFX,2023-08-25 11:24:00,3714.6,3715.6,3715.8,3714.0,113.0,125939640.0,175268.0
115,IF2309.CFX,2023-08-25 11:25:00,3715.6,3716.0,3716.6,3714.0,126.0,140428670.0,175253.0
116,IF2309.CFX,2023-08-25 11:26:00,3716.0,3717.8,3718.0,3716.0,153.0,170622060.0,175234.0
117,IF2309.CFX,2023-08-25 11:27:00,3717.8,3718.0,3718.2,3716.6,127.0,141639970.0,175214.0
118,IF2309.CFX,2023-08-25 11:28:00,3718.0,3718.6,3719.0,3717.2,120.0,133859880.0,175197.0
119,IF2309.CFX,2023-08-25 11:29:00,3718.8,3717.8,3719.2,3717.4,91.0,101507580.0,175166.0
120,IF2309.CFX,2023-08-25 11:30:00,3717.8,3717.4,3718.8,3717.4,132.0,147236460.0,175155.0
121,IF2309.CFX,2023-08-25 13:01:00,3717.2,3720.2,3720.6,3716.2,363.0,404897820.0,175157.0
122,IF2309.CFX,2023-08-25 13:02:00,3720.6,3728.2,3728.2,3720.6,641.0,716336830.0,175085.0
123,IF2309.CFX,2023-08-25 13:03:00,3728.6,3725.4,3735.0,3725.4,1291.0,1444899100.0,174918.0
124,IF2309.CFX,2023-08-25 13:04:00,3725.4,3717.6,3725.4,3716.0,825.0,920758140.0,174950.0
125,IF2309.CFX,2023-08-25 13:05:00,3717.8,3716.2,3720.8,3716.2,491.0,547650100.0,174962.0
