date,code,open,close,high,low,volume,amount,amplitude,price-limit,change-amount,turn
2025-08-08,603799,42.62,43.81,44.39,42.52,797114,3488234855.0,4.37,2.36,1.01,4.73
2025-08-11,603799,45.2,44.86,45.58,43.6,803347,3574330461.0,4.52,2.4,1.05,4.76
2025-08-12,603799,44.39,44.24,44.6,43.38,585413,2573044414.0,2.72,-1.38,-0.62,3.47
2025-08-13,603799,44.09,44.89,45.1,44.03,514080,2297489448.0,2.42,1.47,0.65,3.05
2025-08-14,603799,44.9,43.56,45.13,43.5,576126,2546594845.0,3.63,-2.96,-1.33,3.42
2025-08-15,603799,43.25,44.25,44.29,43.22,429459,1889525190.0,2.46,1.58,0.69,2.55
2025-08-18,603799,45.64,45.06,46.4,44.92,894197,4082996900.0,3.34,1.83,0.81,5.3
2025-08-19,603799,45.1,44.07,45.26,43.87,693255,3075507054.0,3.08,-2.2,-0.99,4.11
2025-08-20,603799,43.91,45.5,46.25,43.61,890574,4039968526.0,5.99,3.24,1.43,5.28
2025-08-21,603799,45.54,45.1,46.39,44.82,498421,2267702234.0,3.45,-0.88,-0.4,2.96
2025-08-22,603799,45.7,47.94,49.0,45.7,1156004,5490006345.0,7.32,6.3,2.84,6.86
2025-08-25,603799,49.01,48.14,49.02,47.27,1064461,5118538571.0,3.65,0.42,0.2,6.31
2025-08-26,603799,47.67,47.17,48.31,47.11,614361,2922747993.0,2.49,-2.01,-0.97,3.64
2025-08-27,603799,47.17,45.86,47.61,45.81,816286,3824240391.0,3.82,-2.78,-1.31,4.84
2025-08-28,603799,45.84,46.57,46.59,45.2,674124,3098027586.0,3.03,1.55,0.71,4.0
2025-08-29,603799,46.58,48.05,48.92,46.2,1179888,5631508677.0,5.84,3.18,1.48,7.0
2025-09-01,603799,48.5,50.22,50.22,47.54,1404230,6875390984.0,5.58,4.52,2.17,8.33
2025-09-02,603799,49.71,47.78,49.74,47.17,1186978,5738260712.0,5.12,-4.86,-2.44,7.04
2025-09-03,603799,47.83,47.5,48.79,46.89,779322,3724136516.0,3.98,-0.59,-0.28,4.62
2025-09-04,603799,47.33,47.27,49.39,46.07,990217,4740296271.0,6.99,-0.48,-0.23,5.87
2025-09-05,603799,47.08,50.75,50.88,46.28,1446492,7119203424.0,9.73,7.36,3.48,8.58
2025-09-08,603799,51.73,53.2,54.06,50.58,1547847,8165598564.0,6.86,4.83,2.45,9.18
2025-09-09,603799,52.5,51.33,53.9,51.29,1113842,5839422780.0,4.91,-3.52,-1.87,6.61
2025-09-10,603799,50.8,51.0,52.65,50.4,843393,4321302159.0,4.38,-0.64,-0.33,5.0
2025-09-11,603799,51.0,51.65,51.76,50.25,729671,3724757770.0,2.96,1.27,0.65,4.33
2025-09-12,603799,51.98,52.3,53.55,51.27,1151753,6027693821.0,4.41,1.26,0.65,6.29
2025-09-15,603799,52.5,52.25,54.75,52.2,1155719,6179911245.0,4.88,-0.1,-0.05,6.31
2025-09-16,603799,52.22,51.89,52.7,49.95,1069455,5473528941.0,5.26,-0.69,-0.36,5.84
2025-09-17,603799,51.8,51.7,52.18,51.04,652367,3357768918.0,2.2,-0.37,-0.19,3.56
2025-09-18,603799,51.74,50.57,51.97,49.91,843643,4296594573.0,3.98,-2.19,-1.13,4.61
2025-09-19,603799,50.2,51.56,52.45,50.13,901361,4645450404.0,4.59,1.96,0.99,4.92
2025-09-22,603799,53.98,52.72,54.55,52.2,1192418,6333662935.0,4.56,2.25,1.16,6.52
2025-09-23,603799,52.1,52.48,54.17,51.28,971887,5116947394.0,5.48,-0.46,-0.24,5.31
2025-09-24,603799,52.69,55.52,56.55,52.5,1323193,7296948328.0,7.72,5.79,3.04,7.23
2025-09-25,603799,56.32,55.61,57.0,55.01,933485,5224057768.0,3.58,0.16,0.09,5.1
2025-09-26,603799,55.75,57.13,58.5,55.75,963353,5558417509.0,4.95,2.73,1.52,5.26
2025-09-29,603799,58.4,60.25,60.86,57.33,1108121,6568522889.0,6.18,5.46,3.12,5.88
2025-09-30,603799,61.56,65.9,66.28,61.17,1568433,10202113922.0,8.48,9.38,5.65,8.32
2025-10-09,603799,67.03,70.29,70.29,66.56,1673648,11428158792.0,5.66,6.66,4.39,8.88
2025-10-10,603799,68.0,64.85,68.01,63.65,1478666,9729587239.0,6.2,-7.74,-5.44,7.85
