date,code,open,close,high,low,volume,amount,amplitude,change-amount,turn
2023-04-03,3277.34,3296.4,3299.73,3276.42,357676775,513390565537.0,0.71,0.72,23.54,0.75
2023-04-04,3297.18,3312.56,3312.56,3290.99,385871617,555811064015.5,0.65,0.49,16.16,0.81
2023-04-06,3302.75,3312.63,3314.53,3296.06,327155424,506500167165.2,0.56,0.0,0.07,0.69
2023-04-07,3312.48,3327.65,3328.85,3308.06,283032247,436372798925.8,0.63,0.45,15.02,0.6
2023-04-10,3331.51,3315.36,3332.72,3309.92,340819845,516434325402.1,0.69,-0.37,-12.29,0.72
2023-04-11,3317.08,3313.57,3317.45,3298.25,320566055,466895849254.6,0.58,-0.05,-1.79,0.68
2023-04-12,3316.86,3327.18,3330.71,3315.4,343025315,482066170134.8,0.46,0.41,13.61,0.72
2023-04-13,3321.27,3318.36,3334.47,3309.25,347862106,477587943379.6,0.76,-0.27,-8.82,0.73
2023-04-14,3326.37,3338.15,3340.08,3316.81,338299275,478345417461.3,0.7,0.6,19.79,0.71
2023-04-17,3337.06,3385.61,3385.61,3336.39,402809926,523790271022.3,1.47,1.42,47.46,0.85
2023-04-18,3379.23,3393.33,3396.17,3375.78,348399486,474287388944.2,0.6,0.23,7.72,0.74
2023-04-19,3391.35,3370.13,3394.96,3364.64,346123443,476496941017.2,0.89,-0.68,-23.2,0.73
2023-04-20,3367.05,3367.03,3371.37,3344.02,350354965,499672394215.6,0.81,-0.09,-3.1,0.74
2023-04-21,3364.0,3301.26,3367.61,3301.26,387395098,530517857771.7,1.97,-1.95,-65.77,0.82
2023-04-24,3300.81,3275.41,3303.09,3264.93,354255626,473265986268.8,1.16,-0.78,-25.85,0.75
2023-04-25,3276.4,3264.87,3288.57,3229.45,380895729,494240131388.3,1.8,-0.32,-10.54,0.8
2023-04-26,3255.22,3264.1,3277.98,3239.99,357917842,480418149402.8,1.16,-0.02,-0.77,0.76
2023-04-27,3256.23,3285.88,3299.3,3253.11,341590534,466175350420.4,1.42,0.67,21.78,0.72
2023-04-28,3283.12,3323.27,3324.88,3283.12,401554785,514904620687.7,1.27,1.14,37.39,0.85
2023-05-04,3306.48,3350.46,3352.75,3302.03,483364916,550494850346.7,1.53,0.82,27.19,1.02
2023-05-05,3350.65,3334.5,3364.14,3321.19,436504494,499294430532.3,1.28,-0.48,-15.96,0.92
2023-05-08,3340.99,3395.0,3400.18,3340.99,534103659,564661993453.0,1.78,1.81,60.5,1.13
2023-05-09,3402.39,3357.67,3418.95,3356.12,573013309,619108477501.3,1.85,-1.1,-37.33,1.21
2023-05-10,3347.7,3319.15,3349.72,3305.25,451739731,489553667296.5,1.32,-1.15,-38.52,0.95
2023-05-11,3323.66,3309.55,3333.25,3307.29,354258271,401313953404.3,0.78,-0.29,-9.6,0.75
2023-05-12,3304.46,3272.36,3319.13,3271.43,347314983,387081199285.3,1.44,-1.12,-37.19,0.73
2023-05-15,3269.88,3310.74,3310.74,3235.87,388045887,431706863269.3,2.29,1.17,38.38,0.82
2023-05-16,3310.16,3290.99,3317.9,3282.49,322479410,385386011202.3,1.07,-0.6,-19.75,0.68
2023-05-17,3281.97,3284.23,3298.52,3269.89,285744050,340482661497.5,0.87,-0.21,-6.76,0.6
2023-05-18,3288.41,3297.32,3313.86,3284.17,309967472,368435070988.2,0.9,0.4,13.09,0.65
2023-05-19,3288.89,3283.54,3302.34,3268.22,285404064,359507956518.1,1.03,-0.42,-13.78,0.6
2023-05-22,3278.6,3296.47,3308.53,3276.54,273889998,342448401630.5,0.97,0.39,12.93,0.58
2023-05-23,3294.79,3246.24,3298.23,3246.24,275279083,324667932872.9,1.58,-1.52,-50.23,0.58
2023-05-24,3237.7,3204.75,3237.7,3204.38,288720257,342677325734.6,1.03,-1.28,-41.49,0.61
2023-05-25,3197.36,3201.26,3207.02,3168.57,283588925,347709231730.5,1.2,-0.11,-3.49,0.6
2023-05-26,3198.88,3212.5,3220.77,3179.82,261700479,333319265973.1,1.28,0.35,11.24,0.55
2023-05-29,3219.76,3221.45,3230.97,3208.96,297389487,377875996064.0,0.69,0.28,8.95,0.63
2023-05-30,3214.67,3224.21,3230.63,3186.63,303532460,376622572865.1,1.37,0.09,2.76,0.64
2023-05-31,3214.66,3204.56,3216.36,3190.27,294573338,384999190215.7,0.81,-0.61,-19.65,0.62
2023-06-01,3196.15,3204.63,3225.09,3189.52,312330759,400981483177.6,1.11,0.0,0.07,0.66
2023-06-02,3212.45,3230.07,3233.99,3211.74,294667098,377507927729.1,0.69,0.79,25.44,0.62
2023-06-05,3231.81,3232.44,3244.18,3221.63,278060203,357810090574.8,0.7,0.07,2.37,0.59
2023-06-06,3228.41,3195.34,3247.35,3189.27,308285872,387492228835.7,1.8,-1.15,-37.1,0.65
2023-06-07,3197.47,3197.76,3210.33,3188.01,258063400,331083866651.7,0.7,0.08,2.42,0.54
2023-06-08,3194.83,3213.59,3225.53,3180.54,293530741,353551633155.6,1.41,0.5,15.83,0.62
2023-06-09,3213.03,3231.41,3231.41,3206.1,314155501,413341768412.7,0.79,0.55,17.82,0.66
2023-06-12,3225.3,3228.83,3239.44,3210.71,313784444,403241619623.4,0.89,-0.08,-2.58,0.66
2023-06-13,3223.9,3233.67,3235.09,3215.5,280628454,377193491389.4,0.61,0.15,4.84,0.59
2023-06-14,3238.12,3228.99,3248.46,3226.77,303537260,404009517761.0,0.67,-0.14,-4.68,0.64
2023-06-15,3230.45,3252.98,3252.98,3229.15,313255752,437522981548.2,0.74,0.74,23.99,0.66
2023-06-16,3256.3,3273.33,3276.55,3255.5,326281846,444375632395.7,0.65,0.63,20.35,0.69
2023-06-19,3271.16,3255.81,3271.16,3251.78,327753047,455226178218.8,0.59,-0.54,-17.52,0.69
2023-06-20,3252.54,3240.36,3252.84,3237.79,298260596,433243981459.9,0.46,-0.47,-15.45,0.63
2023-06-21,3230.11,3197.9,3236.36,3197.9,294377372,406234561359.8,1.19,-1.31,-42.46,0.62
2023-06-26,3177.23,3150.62,3181.08,3144.25,308129811,398859657407.8,1.15,-1.48,-47.28,0.65
2023-06-27,3153.31,3189.44,3194.41,3148.27,287604327,354487810600.4,1.46,1.23,38.82,0.61
2023-06-28,3183.49,3189.38,3192.66,3157.12,276231948,360118192478.4,1.11,0.0,-0.06,0.58
2023-06-29,3185.42,3182.38,3196.5,3179.53,250340074,340636710911.3,0.53,-0.22,-7.0,0.53
2023-06-30,3178.92,3202.06,3212.99,3177.99,265379873,359739563354.1,1.1,0.62,19.68,0.56
2023-07-03,3209.16,3243.98,3246.86,3209.16,312371395,421353472356.4,1.18,1.31,41.92,0.66
